QUESTION,BT LEVEL
Discuss in details what Accounting Information Systems (AIS) is. ,Comprehension
State TWO (2) subsystems of AIS. ,Knowledge
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,Comprehension
Discuss any FOUR (4) underlying principles of lean manufacturing approach. ,Comprehension
Explain on the advantages of switching from a flat-file processing system to a database management system. ,Comprehension
Discuss THREE (3) types of anomalies associated with database tables that have not been normalized. ,Comprehension
Briefly explain any TWO (2) security objectives of audit trails. ,Comprehension
Define and contrast digital certificate and digital signature. ,Comprehension
Explain how transactions are audited in an electronic data interchange environment. ,Comprehension
List any THREE (3) pairs of system functions that should be separated in the centralized computer services organization and describe a risk exposure if the functions are not separated. ,Comprehension
Identify and explain another graphical diagram besides network diagram which is useful for planning and scheduling. Evaluate the graphical diagram. ,Evaluation
List out FOUR (4) benefits of using RFID.,Knowledge
Suggest any FIVE (5) dimensions of service quality that could be taken into consideration by the kindergarten management for its future operations improvement. ,Synthesis
Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan. ,Knowledge
List out any SIX (6) factors to be considered when designing a layout. ,Knowledge
Examine cross-docking warehouse layout. ,Analysis
Discuss any FOUR (4) elements which are embedded in Total Quality Management Programme. ,Comprehension
Examine traditional warehouse layout and cross-docking layout. ,Analysis
Explain FOUR (4) process strategies you have learned. ,Comprehension
Discuss the importance of Philip Crosby's suggestion on “do it right the first time” by manufacturing company. ,Comprehension
Explain any FOUR (4) product design strategies that could help company to reduce cost. ,Comprehension
Compare product layout and process layout. ,Analysis
Explain FOUR (4) types of process design that could be found in manufacturing companies. ,Comprehension
"“Goods and services design could help manufacturers to gain competitive advantages."" Justify the statement with any THREE (3) strategies. ",Evaluation
ABC inventory analysis is one of the methods used by manufacturing companies for effective inventory management. Explain your answer. ,Comprehension
Compare matching demand and level aggregate production planning. ,Analysis
Briefly explain FOUR (4) manufacturing layout you have learned.,Comprehension
